name,unit,cat,sku,star_uid,grofer_uid,dmart_uid,amc_uid,bb_uid
Saag,bundle,Indian Vegetable,LSAA1,0,0,0,0,0
Salad Patta,piece,Exotic,ESAL1,0,0,0,0,0
Sambhar Onion (Madras Onion),500 gm,Fruits and Vegetables,DNFONI,0,0,452507,0,0
Sambhar Onion (Madras Onion),500 gm,Fruits and Vegetables,DNFONI2,0,0,0,0,0
Sarson ka Saag,bundle,Indian Vegetable,LSAR1,0,0,0,0,0
Shingada,kg,Indian Vegetable,ISHI5,0,0,0,0,0
Simpson Lettuce,kg,Fruits,ESIM1,0,0,0,0,0
Snake Gourd (Bada Parwal)  - Fraazo,kg,Fraazo,VSNA13,0,0,0,0,0
Snow peas,kg,Exotic,ESNO1,0,0,0,0,0
Soya Leaf,bundle,Fruits,LSOY1,0,0,0,0,0
Spinach,bundle,Indian Vegetable,LSPI1,0,0,0,08055,0
Spinach Box 8,bundle,Indian Vegetable,LSPI2,0,0,0,0,0
Sponge Gourd (Galka)  - Fraazo,kg,Fraazo,VSPO12,8501,0,0,0,0
Spring Onion - Fraazo,kg,Fraazo,LSPR11,7367,0,0,0,0
Spring Onion ( 450-550 Grams ),bundle,Indian Vegetable,LSPR1,0,0,0,08036,0
"Spring onion unprocessed	",kg,Indian Vegetable,LSpr2,0,0,0,0,0
Star Fruit,kg,Fruits,FSTA1,0,0,0,0,0
Strawberry,packet,Fruits,FSTR1,0,0,0,0,0
Strawberry,packet,Fruits,FSTR2,0,0,0,0,0
Strawberry - Fraazo,kg,Fraazo,FSTR11,0,0,0,0,10000263
Sun Melon,kg,Fruits,FSun1,0,0,0,0,30007325
Suran,kg,Indian Vegetable,ISUR1,0,0,0,08069,0
Sweet Corn- 2 pc,,,,0,0,0,0,40004992
Sweet Corn- 120gm,kg,Exotic,ESWE1,5975,0,0,0,0
Sweet Corn (Frozen),kg,Exotic,ESwe2,0,0,0,0,0
Sweet Corn Bunch  (Bhutta)  - Fraazo (1 Pc),unit,Fraazo,ESWE13,0,0,0,0,0
Sweet Corn Peeled  - Fraazo (200 Gms),unit,Fraazo,ESWE22,0,0,0,0,0
Sweet Potato,kg,Indian Vegetable,ISWE1,0,0,0,08063,0
Sweet Potato - Fraazo - 250- 500gms,,,,8503,0,367690,0,0
Sweet Potato - Fraazo,kg,Fraazo,VSWE12,0,0,0,0,10000193
Sweet Potato (Ratala),500 gm,Fruits and Vegetables,DNFPOT,0,0,0,0,0
Sweet Potato (Ratala),500 gm,Fruits and Vegetables,DNFPOT2,0,0,0,0,0
Tarragon,kg,Exotic,ETAR1,0,0,0,0,0
Tender coconut,kg,Fruits,FTEN1,0,0,0,0,1203678
Thai Brijal,kg,Exotic,ETHA2,0,0,0,0,0
Thai Red Chilly,kg,Fruits,ETHA1,0,0,0,0,0
Thyme,kg,Exotic,ETHY1,0,0,0,0,40026327
Tinda - Fraazo 250 gm,kg,Indian Vegetable,ITIN6,8505,0,0,0,0
Tinda - Fraazo,kg,Fraazo,VTIN12,0,0,0,0,10000665
Tomato - Box 8,kg,Bulk,BTom1,0,0,0,0,0
Tomato - Cherry,kg,Exotic,ETOM3,0,0,0,0,0
Tomato - Fraazo,kg,Fraazo,BTOM12,7935,0,292014,0,50000557
Tomato Cherry  - Fraazo,kg,Fraazo,ETOM11,0,0,0,0,30001962
Tomato Crates,kg,Bulk,ITOM2,0,0,0,0,0
Tomato Hybrid  - Fraazo,kg,Fraazo,BTOM11,0,391307,0,0,0
Tomato-Desi,kg,Indian Vegetable,ITOM5,0,0,0,0,0
Tomatoes - Green,kg,Exotic,ETOM1,0,0,0,0,0
Tomatoes Yellow,kg,Exotic,ETOM2,0,0,0,0,0
Tondli,kg,Indian Vegetable,ITON1,0,0,0,0,0
Tondli - Fraazo,kg,Fraazo,VTON12,0,0,0,0,10000089
Transportation,piece,Bulk,BTRA1,0,0,0,0,0
VnF Supreme Onion,kg,Bulk,BONI1,0,0,0,08035,0
VnF Supreme Potato,kg,Bulk,BPOT3,0,0,0,08007,0
VnF Supreme Tomato,kg,Bulk,BTOM2,0,0,0,08071,0
Wafer Potato (Sample),kg,Bulk,BWaf1,0,0,0,0,0
Watermelon ( 1.5 - 2 Kg / Piece ),kg,Fruits,FWAT1,0,0,0,07011,0
Watermelon Fraazo,kg,Fraazo,FWAT11,0,0,0,0,10000297
White Onion,kg,Indian Vegetable,IWHI1,0,0,0,0,0
White-Pumpkin,kg,Indian Vegetable,IWHI2,0,0,0,0,0
Yellow Mango,kg,Fruits,FYEL1,0,0,0,0,0
Zucchini - Green,kg,Exotic,EZUG1,0,0,0,0,0
Zucchini Green,250 gm,Fruits and Vegetables,DNFGRE,0,0,0,0,0
Zucchini Green,250 gm,Fruits and Vegetables,DNFGRE3,0,0,0,0,0
Zucchini Green  - Fraazo,kg,Fraazo,EZUC12,7936,0,0,0,10000122
Zucchini Green / Yellow Mix,kg,Exotic,EZUC1,0,0,0,0,0
Zucchini Yellow,kg,Exotic,EZUY1,0,0,0,0,0
Zucchini Yellow,250 gm,Fruits and Vegetables,DNFYEL,7970,0,0,0,0
Zucchini Yellow  - Fraazo,kg,Fraazo,EZUC32,0,0,0,0,10000320
